Numer,Nazwa,Typ,Typ ogólny,Poziom,Dzielnica,Ulica,Numer budynku,Numer lokalu,Kod pocztowy,Długość geograficzna,Szerokość geograficzna,Publiczność,Liczba uczniów,Min,Max,Avg
497,"NIEPUBLICZNE PRZEDSZKOLE JĘZYKOWE ""BAŚNIOWY DOM",Przedszkole,Unused,Unclassified,Mokotów,ul. Irysowa,1a,,02-660,21.0169672,52.1743996,niepubliczna,45.0,,,
499,PUNKT PRZEDSZKOLNY FOR FUN,Punkt przedszkolny,Unused,Unclassified,Mokotów,ul. Domaniewska,37a,,02-672,21.0077658,52.18239929999999,niepubliczna,0.0,,,
500,PRZEDSZKOLE NIEPUBLICZNE - CASA DEI BAMBINI WARSAW MONTESSORI SCHOOL,Przedszkole,Unused,Unclassified,Mokotów,ul. Badowska,19,,00-752,21.039515846302525,52.20868405,niepubliczna,72.0,,,
501,SZKOŁA PODSTAWOWA NIEPUBLICZNA KOLEGIUM ŚW. STANISŁAWA KOSTKI,Szkoła podstawowa,Ordinary,Elementary,Mokotów,ul. Bobrowiecka,9,,00-728,21.04580079777431,52.20101459999999,niepubliczna,60.0,,,
502,AKADEMIA GB RESOURCES POLSKA,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Mokotów,ul. Domaniewska,39a,,02-672,21.00440258111552,52.18249295,niepubliczna,,,,
503,ZAGADKA S.C. PRZEDSZKOLE NIEPUBLICZNE,Przedszkole,Unused,Unclassified,Mokotów,ul. Sueska,2,,02-761,21.05720206495853,52.17312495,niepubliczna,14.0,,,
505,CENTRUM EDUKACJI EKSPERT CEE,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Mokotów,ul. Grażyny,15,107,02-548,21.01952651483331,52.2032543,niepubliczna,,,,
506,"PUNKT PRZEDSZKOLNY ""RÓŻANY OGRÓDEK",Punkt przedszkolny,Unused,Unclassified,Mokotów,ul. Mieczysława Karłowicza,11,,02-501,21.00373415,52.2016958,niepubliczna,12.0,,,
507,CENTRUM EDUKACJI DR IRENA ERIS,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Mokotów,ul. Puławska,107A,,02-595,21.025071885416665,52.1948002,niepubliczna,,,,
508,PRZEDSZKOLE NR 284,Przedszkole,Unused,Unclassified,Mokotów,ul. Jałtańska,8,,02-760,21.0532032,52.18293695,publiczna,123.0,,,
509,PRZEDSZKOLE NR 146,Przedszkole,Unused,Unclassified,Mokotów,ul. Sandomierska,2,,02-567,21.020649589754857,52.20664,publiczna,113.0,,,
511,SZKOŁA PODSTAWOWA NIEPUBLICZNA NR 49,Szkoła podstawowa,Ordinary,Elementary,Mokotów,ul. Jana Sebastiana Bacha,2,,02-743,21.032708300000003,52.1727325,niepubliczna,271.0,,,
512,LICEUM OGÓLNOKSZTAŁCĄCE IM. KOMISJI EDUKACJI NARODOWEJ,Liceum ogólnokształcące,Ordinary,Middle,Mokotów,ul. Kielecka,43,,02-530,21.004477270582804,52.2059013,publiczna,128.0,,,
513,"PRZEDSZKOLE NR 349 ""BARCELONKA",Przedszkole,Unused,Unclassified,Mokotów,ul. Barcelońska,8,,02-762,21.0556261,52.1765703,publiczna,100.0,,,
514,"PRZEDSZKOLE NR 145 ""CZTEROLISTNA KONICZYNKA",Przedszkole,Unused,Unclassified,Mokotów,ul. Seweryna Goszczyńskiego,17A,,02-610,21.01734816085355,52.19462125,publiczna,99.0,,,
515,PRZEDSZKOLE NR 151,Przedszkole,Unused,Unclassified,Mokotów,ul. Zaciszna,3,,02-912,21.068658816851386,52.1874808,publiczna,100.0,,,
516,CENTRUM WSPOMAGANIA ROZWOJU OSOBOWOŚCI,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Mokotów,ul. Jana Pawła Woronicza,15,100,02-625,21.0140909,52.1885079,niepubliczna,,,,
517,"PRZEDSZKOLE NR 80 ""SŁONECZNA DOLINKA",Przedszkole,Unused,Unclassified,Mokotów,ul. Łukowa,4,,02-767,21.042019744649128,52.17332089999999,publiczna,124.0,,,
518,PRZEDSZKOLE NR 138,Przedszkole,Unused,Unclassified,Mokotów,ul. Karwińska,17,,02-639,21.0003337,52.19486335000001,publiczna,50.0,,,
522,DWUJĘZYCZNA SZKOŁA PODSTAWOWA PWN,Szkoła podstawowa,Ordinary,Elementary,Mokotów,ul. Józefa i Jana Rostafińskich,1,,02-593,20.996753163775075,52.20707455,niepubliczna,68.0,,,
523,"SZKOŁA PODSTAWOWA SPECJALNA NR 22 W NARODOWYM INSTYTUCIE GERIATRII, REUMATOLOGII I I REHABILITACJI IM. PROF. DR HAB. MED. ELEONORY REICHER",Szkoła podstawowa,Ordinary,Elementary,Mokotów,ul. Spartańska,1,,02-637,20.994168437350897,52.19097725,publiczna,13.0,,,
524,OŚRODEK SZKOLENIA GALJAN,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Mokotów,ul. Racławicka,132,,02-634,20.99137708472811,52.19808495,niepubliczna,,,,
525,PRZEDSZKOLE NR 147,Przedszkole,Unused,Unclassified,Mokotów,ul. Zakrzewska,13,,00-737,21.040070613523408,52.2038987,publiczna,97.0,,,
526,DWUJĘZYCZNE PRZEDSZKOLE NIEPUBLICZNE PRIMROSE,Przedszkole,Unused,Unclassified,Mokotów,ul. Bernardyńska,16A,U7,02-904,21.06354323928334,52.1951517,niepubliczna,43.0,,,
528,PRZEDSZKOLE NR 344,Przedszkole,Unused,Unclassified,Mokotów,ul. Spartańska,2,,02-637,20.996232355738705,52.1903032,publiczna,158.0,,,
529,NIEPUBLICZNY PUNKT PRZEDSZKOLNY ABA,Punkt przedszkolny,Unused,Unclassified,Mokotów,ul. Zawrat,29,,02-702,21.02651106246029,52.18804795,niepubliczna,0.0,,,
530,SZKOŁA PODSTAWOWA NR 212 IM. KRYSTYNY KRAHELSKIEJ,Szkoła podstawowa,Ordinary,Elementary,Mokotów,ul. Czarnomorska,3,,02-758,21.04838152862914,52.1832198,publiczna,544.0,,,
531,PRZEDSZKOLE NR 305,Przedszkole,Unused,Unclassified,Mokotów,ul. Stefana Bryły,8,,02-685,21.01255515015196,52.1817536,publiczna,225.0,,,
533,SZKOŁA PODSTAWOWA NR 205 IM. ŻOŁNIERZY POWSTANIA WARSZAWSKIEGO,Szkoła podstawowa,Ordinary,Elementary,Mokotów,ul. Spartańska,4,,02-637,20.99615047496393,52.1916441,publiczna,609.0,,,
534,CHIC WARSAW PLACÓWKA KSZTAŁCENIA USTAWICZNEGO,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Mokotów,al. Aleja Wilanowska,273,,02-730,21.039199,52.1760874,niepubliczna,,,,
535,PRZEDSZKOLE Z ODDZIAŁAMI INTEGRACYJNYMI NR 326 „CHATKA SKRZATKA”,Przedszkole,Unused,Unclassified,Mokotów,ul. Bernardyńska,14,,02-904,21.06382018216097,52.19408515,publiczna,115.0,,,
536,PRZEDSZKOLE NR 274,Przedszkole,Unused,Unclassified,Mokotów,ul. Bokserska,32,,02-682,21.0044077,52.16862455,publiczna,97.0,,,
537,"PRZEDSZKOLE NR 196 ""KRAINA MISIÓW”",Przedszkole,Unused,Unclassified,Mokotów,ul. Ludwika Nabielaka,18A,,02-743,21.035040385777023,52.20611685,publiczna,96.0,,,
540,HAPPY KIDS' ACADEMY - EUROPEJSKIE PRZEDSZKOLE JĘZYKOWE,Przedszkole,Unused,Unclassified,Mokotów,ul. Postępu,4,,02-676,20.9941679,52.1733844,niepubliczna,55.0,,,
541,IMMOQEE SPÓŁKA Z O.O. NIEPUBLICZNA PLACÓWKA KSZTAŁCENIA USTAWICZNEGO,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Mokotów,ul. Jana Karola Chodkiewicza,3,u10,02-593,20.9951995,52.2023268,niepubliczna,,,,
542,TECHNIKUM HOTELARSKO-TURYSTYCZNO-GASTRONOMICZNE NR 21,Technikum,Ordinary,Middle,Mokotów,ul. Krasnołęcka,3,,00-734,21.044069033694647,52.2036124,publiczna,547.0,28.266666666666666,123.98333333333332,68.31
543,SZKOŁA PODSTAWOWA NR 85 IM. BENITO JUAREZA,Szkoła podstawowa,Ordinary,Elementary,Mokotów,ul. Ludwika Narbutta,14,,02-541,21.019163858489023,52.2072626,publiczna,631.0,,,
544,"PRZEDSZKOLE NR 311 ""SADYBIAŃSKIE ŚWIERSZCZE",Przedszkole,Unused,Unclassified,Mokotów,ul. Jana III Sobieskiego,72B,,02-930,21.05651977371165,52.18575715,publiczna,112.0,,,
545,NIEPUBLICZNY PUNKT PRZEDSZKOLNY DLA DZIECI Z NIEPEŁNOSPRAWNOŚCIĄ INTELEKTUALNĄ FUNDACJI KU LEPSZEJ PRZYSZŁOŚCI,Punkt przedszkolny,Unused,Unclassified,Mokotów,ul. Stępińska,60,,00-739,21.037574473071718,52.20932185,niepubliczna,0.0,,,
546,VI LICEUM OGÓLNOKSZTAŁCĄCE IM. TADEUSZA REYTANA,Liceum ogólnokształcące,Ordinary,Middle,Mokotów,ul. Wiktorska,30/32,,02-587,21.01527349494036,52.20009775,publiczna,875.0,160.35384615384618,174.9519230769231,165.9096153846154
547,PRZEDSZKOLE NR 275,Przedszkole,Unused,Unclassified,Mokotów,ul. Jana Feliksa Piwarskiego,5,,00-770,21.034679523663844,52.19760720000001,publiczna,111.0,,,
548,CENTRUM EDUKACJI FUNDACJI WYDZIAŁU ZARZĄDZANIA,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Mokotów,ul. Szturmowa,3,,02-678,21.01283874873084,52.170468,niepubliczna,,,,
549,"NIEPUBLICZNE PRZEDSZKOLE JĘZYKOWE ""4 KIDS",Przedszkole,Unused,Unclassified,Mokotów,ul. Puławska,114,13,02-620,21.0234507,52.1944123,niepubliczna,50.0,,,
550,"PRZEDSZKOLE MONTESSORI ""SŁONECZNIK",Przedszkole,Unused,Unclassified,Mokotów,ul. Wolfganga Amadeusza Mozarta,4,,02-736,21.031092061784392,52.1714037,niepubliczna,54.0,,,
551,CENTRUM CHIRURGII I PIELĘGNACJI DRZEW CHACHULSCY SPÓŁKA JAWNA,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Mokotów,ul. Smyczkowa,16,,02-679,21.01222055,52.1727392,niepubliczna,,,,
552,CENTRUM OŚWIECENIA,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Mokotów,ul. Powsińska,64a,,02-930,21.060725,52.1900115,niepubliczna,,,,
553,SZKOŁA PODSTAWOWA NR 103 IM. BOHATERÓW WARSZAWY 1939-1945,Szkoła podstawowa,Ordinary,Elementary,Mokotów,ul. Jeziorna,5/9,,02-911,21.070937743612674,52.18753015,publiczna,547.0,,,
554,NIEZAPOMINAJKA-PRZEDSZKOLE NIEPUBLICZNE,Przedszkole,Unused,Unclassified,Mokotów,ul. Wołodyjowskiego,36A,,02-724,21.0221984,52.1745665,niepubliczna,40.0,,,
555,"PUNKT PRZEDSZKOLNY ""LOLEK",Punkt przedszkolny,Unused,Unclassified,Mokotów,ul. Kalatówki,26,,02-702,21.02579050208446,52.1878258,niepubliczna,17.0,,,
556,XLIV LICEUM OGÓLNOKSZTAŁCĄCE IM. STEFANA BANACHA,Liceum ogólnokształcące,Ordinary,Middle,Mokotów,ul. Dolna,6,,00-774,21.032707279492023,52.20166065,publiczna,602.0,142.24,164.265,149.73700000000005
557,SZKOŁA PODSTAWOWA Z ODDZIAŁAMI DWUJĘZYCZNYMI NR 20 IM. JANA GUTENBERGA FUNDACJI SZKOLNEJ W WARSZAWIE,Szkoła podstawowa,Ordinary,Elementary,Mokotów,ul. Obrzeżna,12a,,02-691,21.00053933303962,52.17211645,niepubliczna,559.0,,,
559,"PRZEDSZKOLE NR 67 ""SŁUŻEWIACZEK",Przedszkole,Unused,Unclassified,Mokotów,ul. Sonaty,6A,,02-744,21.0289819643844,52.17033695,publiczna,89.0,,,
560,SZKOŁA PODSTAWOWA NR 394,Szkoła podstawowa,Ordinary,Elementary,Mokotów,ul. Różana,22/24,,02-569,21.01655214305308,52.2029058,publiczna,82.0,,,
561,"NIEPUBLICZNE PRZEDSZKOLE INTEGRACYJNE ""RAZ, DWA, TRZY - MY",Przedszkole,Unused,Unclassified,Mokotów,ul. Łowicka,19,1,02-574,21.005854394291752,52.19973965,niepubliczna,29.0,,,
562,"PRZEDSZKOLE NR 244 ""NIEGOCIŃSKIE SKRZATY",Przedszkole,Unused,Unclassified,Mokotów,ul. Niegocińska,9,,02-698,21.0070531,52.1748589,publiczna,124.0,,,
563,SZKOŁA PODSTAWOWA SPECJALNA NR 201,Szkoła podstawowa,Ordinary,Elementary,Mokotów,ul. Dolna,19,,00-773,21.0304073,52.200516,publiczna,16.0,,,
564,NIEPUBLICZNY PUNKT PRZEDSZKOLNY BRITISH INTERNATIONAL ACADEMY KIDS,Punkt przedszkolny,Unused,Unclassified,Mokotów,ul. Biały Kamień,7,,02-593,20.99596919217485,52.20695585,niepubliczna,18.0,,,
565,AMO PLAY AND LEARN,Zespół wychowania przedszkolnego,Unused,Unclassified,Mokotów,ul. Kwiatowa,28a,2,02-579,21.2223044,52.2516657,niepubliczna,0.0,,,
566,THE ENGLISH PLAYHOUSE PUNKT PRZEDSZKOLNY,Punkt przedszkolny,Unused,Unclassified,Mokotów,ul. Płyćwiańska,14a,,02-713,21.030381100000003,52.18663255,niepubliczna,27.0,,,
567,"NIEPUBLICZNE PRZEDSZKOLE SPECJALNE ""ZIELONY LATAWIEC",Przedszkole,Unused,Unclassified,Mokotów,ul. Czerniakowska,161,,00-453,21.0446893674521,52.21813710000001,niepubliczna,24.0,,,
568,CENTRUM KSZTAŁCENIA SŁUŻB OCHRONY SOLID SECURITY,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Mokotów,ul. Postępu,17,,02-676,20.99678245,52.1809639,niepubliczna,,,,
569,PRZEDSZKOLE NR 278,Przedszkole,Unused,Unclassified,Mokotów,ul. Tatrzańska,3,,00-742,21.035606509505588,52.20528515,publiczna,105.0,,,
570,PRZEDSZKOLE NR 210 (ZGROMADZENIE SŁUG JEZUSA),Przedszkole,Unused,Unclassified,Mokotów,ul. Teresińska,9,,00-727,21.04735985,52.20022915,publiczna,98.0,,,
571,PRZEDSZKOLE NR 139,Przedszkole,Unused,Unclassified,Mokotów,ul. Wiktorska,80A,,02-582,21.0209054,52.2007281,publiczna,100.0,,,
573,"PRZEDSZKOLE NR 281 ""STOKROTKA",Przedszkole,Unused,Unclassified,Mokotów,ul. Gościniec,53,,00-704,21.073650144448184,52.21181215,publiczna,47.0,,,
575,"PRZEDSZKOLE NR 193 ""MOKOTOWSKIE NUTKI",Przedszkole,Unused,Unclassified,Mokotów,ul. Antoniego Edwarda Odyńca,61,,02-644,21.009769353414463,52.19537125,publiczna,98.0,,,
576,I KATOLICKIE LICEUM SPOŁECZNE,Liceum ogólnokształcące,Ordinary,Middle,Mokotów,ul. Bobrowiecka,9,,00-728,21.04580079777431,52.20101459999999,niepubliczna,64.0,,,
577,SZKOŁA PODSTAWOWA NR 115 IM. WANDY TUROWSKIEJ,Szkoła podstawowa,Ordinary,Elementary,Mokotów,ul. Okrężna,80,,02-933,21.0646974926022,52.18339585,publiczna,452.0,,,
578,"PRZEDSZKOLE INTEGRACYJNE NR 117 ""PRZYJAZNA KRAINA",Przedszkole,Unused,Unclassified,Mokotów,ul. Sielecka,26,,00-738,21.03998318530315,52.2057363,publiczna,76.0,,,
582,"OŚRODEK SZKOLENIOWY ""LIWAX",Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Mokotów,ul. Bielawska,3,,02-511,21.02625025948768,52.19327005,niepubliczna,,,,
583,XLIII LICEUM OGÓLNOKSZTAŁCĄCE IM. KAZIMIERZA WIELKIEGO,Liceum ogólnokształcące,Ordinary,Middle,Mokotów,al. Aleja Niepodległości,27,,02-653,21.01865527771832,52.18465305,publiczna,567.0,121.07916666666668,152.82083333333333,133.42583333333334
584,PRZEDSZKOLE NR 300,Przedszkole,Unused,Unclassified,Mokotów,ul. Portofino,4,,02-764,21.058960182534076,52.176092,publiczna,123.0,,,
585,"NIEPUBLICZNE PRZEDSZKOLE ""U SMOKA CO BUJA W OBŁOKACH",Przedszkole,Unused,Unclassified,Mokotów,ul. św. Bonifacego,106,,02-309,21.064914959346105,52.18792115,niepubliczna,48.0,,,
586,SZKOŁA PODSTAWOWA NR 46 IM. STEFANA STARZYŃSKIEGO,Szkoła podstawowa,Ordinary,Elementary,Mokotów,ul. Wałbrzyska,5,,02-739,21.031900350333927,52.1730931,publiczna,538.0,,,
587,ZAKŁAD KSZTAŁCENIA USTAWICZNEGO INSTYTUTU MECHANIZACJI BUDOWNICTWA I GÓRNICTWA SKALNEGO,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Mokotów,ul. Racjonalizacji,6,8,02-673,20.993246038923488,52.18695545,niepubliczna,,,,
589,"PRZEDSZKOLE NR 294 ""PROMYK CZERNIAKOWA",Przedszkole,Unused,Unclassified,Mokotów,ul. Czerniakowska,50A,,00-717,21.049664528272725,52.209199,publiczna,140.0,,,
590,SZKOŁA PODSTAWOWA NR 33 IM. WOJSK OBRONY POWIETRZNEJ KRAJU,Szkoła podstawowa,Ordinary,Elementary,Mokotów,ul. Cieszyńska,8,,02-716,21.02717956465878,52.18399235,publiczna,498.0,,,
591,"NIEPUBLICZNE PRZEDSZKOLE SPECJALNE ""ZIELONY LATAWIEC II",Przedszkole,Unused,Unclassified,Mokotów,ul. Powsińska,56,,02-903,21.0619282,52.1889019,niepubliczna,20.0,,,
592,"LICEUM OGÓLNOKSZTAŁCACE ""SZKOŁA LIDERÓW",Liceum ogólnokształcące,Ordinary,Middle,Mokotów,ul. Bobrowiecka,9,,00-728,21.04580079777431,52.20101459999999,niepubliczna,252.0,,,
593,PRZEDSZKOLE NR 190,Przedszkole,Unused,Unclassified,Mokotów,ul. Racławicka,30A,,02-601,21.014254948960236,52.19876985000001,publiczna,121.0,,,
594,PRZEDSZKOLE NIEPUBLICZNE RUBIK MUSIC SCHOOL,Przedszkole,Unused,Unclassified,Mokotów,ul. Domaniewska,41,,02-672,21.0011847,52.18234010000001,niepubliczna,41.0,,,
595,PRZEDSZKOLE PUBLICZNE MAŁEGO KOPERNIKA,Przedszkole,Unused,Unclassified,Mokotów,ul. Batuty,7b,,02-743,21.0242636,52.1709784,publiczna,125.0,,,
596,PRZEDSZKOLE NR 83,Przedszkole,Unused,Unclassified,Mokotów,ul. Stefana Batorego,35,,02-591,21.00870231933701,52.2106653,publiczna,110.0,,,
597,POLSKI INSTYTUT DIETETYKI,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Mokotów,ul. Domaniewska,39a,,02-672,21.00440258111552,52.18249295,niepubliczna,,,,
598,SZKOŁA PODSTAWOWA CHOCIMSKA,Szkoła podstawowa,Ordinary,Elementary,Mokotów,ul. Chocimska,5,,00-791,21.02357583781164,52.20789225,niepubliczna,203.0,,,
599,NIEPUBLICZNY PUNKT PRZEDSZKOLNY BRITISH INTERNATIONAL ACADEMY KIDS II,Punkt przedszkolny,Unused,Unclassified,Mokotów,ul. Biały Kamień,7,BOU02,02-593,20.99596919217485,52.20695585,niepubliczna,21.0,,,
600,"PRZEDSZKOLE NR 360 ""SŁONECZNY DOMEK",Przedszkole,Unused,Unclassified,Mokotów,ul. Nowoursynowska,210/212,,02-766,21.03900896617821,52.1735439,publiczna,101.0,,,
601,AKADEMIA BANKÓW SPÓŁDZIELCZYCH,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Mokotów,ul. Postępu,15c,,02-676,20.9962876,52.1799996,niepubliczna,,,,
602,"MUZYCZNE PRZEDSZKOLE MONTESSORI ""MOCART",Przedszkole,Unused,Unclassified,Mokotów,ul. Antoniego Malczewskiego,44A,,02-622,21.013302165962447,52.19342275,niepubliczna,22.0,,,
603,LICEUM OGÓLNOKSZTAŁCĄCE NIEPUBLICZNE KOLEGIUM ŚW.STANISŁAWA KOSTKI,Liceum ogólnokształcące,Ordinary,Middle,Mokotów,ul. Bobrowiecka,9,,00-728,21.04580079777431,52.20101459999999,niepubliczna,237.0,,,
604,BRYTYJSKA SZKOŁA PODSTAWOWA THE BRITISH SCHOOL NR 91 W WARSZAWIE,Szkoła podstawowa,Ordinary,Elementary,Mokotów,ul. Bolesława Limanowskiego,15,,02-943,21.05500013334747,52.18918635,niepubliczna,751.0,,,
605,"NIEPUBLICZNE PRZEDSZKOLE INTEGRACYJNE ""OMEGA",Przedszkole,Unused,Unclassified,Mokotów,"ul. Grupy AK ""Północ""",2,U5,00-713,21.05898070974889,52.210838,niepubliczna,173.0,,,
606,"KATOLICKIE NIEPUBLICZNE PRZEDSZKOLE JĘZYKOWE ""DZIECIĄTKA JEZUS",Przedszkole,Unused,Unclassified,Mokotów,ul. Jana III Sobieskiego,15,,02-930,21.062367960081133,52.17410815,niepubliczna,21.0,,,
608,SZKOŁA PODSTAWOWA NR 146 IM. JANUSZA KORCZAKA,Szkoła podstawowa,Ordinary,Elementary,Mokotów,ul. Domaniewska,33,,02-672,21.01017362802512,52.18275165,publiczna,606.0,,,
609,PRZEDSZKOLE NR 140,Przedszkole,Unused,Unclassified,Mokotów,ul. Kaukaska,2,,02-760,21.0521537,52.1803844,publiczna,165.0,,,
610,SPOŁECZNA SZKOŁA PODSTAWOWA NR 14 IM. DZIECI ZJEDNOCZONEJ EUROPY SPOŁECZNEGO TOWARZYSTWA OŚWIATOWEGO,Szkoła podstawowa,Ordinary,Elementary,Mokotów,ul. Bachmacka,3,,02-647,21.004363935459228,52.1938966,niepubliczna,241.0,,,
611,PRZEDSZKOLE NR 69,Przedszkole,Unused,Unclassified,Mokotów,ul. Ludwika Narbutta,65/71,,02-524,21.008014397396146,52.20424660000001,publiczna,133.0,,,
612,SZKOŁA PODSTAWOWA SPECJALNA NR 111,Szkoła podstawowa,Ordinary,Elementary,Mokotów,ul. Różana,22/24,,02-569,21.01655214305308,52.2029058,publiczna,98.0,,,
613,CLV LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI DWUJĘZYCZNYMI IM. BOHATEREK POWSTANIA WARSZAWSKIEGO,Liceum ogólnokształcące,Ordinary,Middle,Mokotów,ul. Wojciecha Żywnego,25,,02-701,21.026328013823274,52.19187895,publiczna,671.0,162.02444444444444,191.01888888888888,174.37222222222226
614,"PRZEDSZKOLE NR 144 ""ZACZAROWANY OŁÓWEK",Przedszkole,Unused,Unclassified,Mokotów,ul. Wiktorska,95/97,,02-582,21.005505785231666,52.19763029999999,publiczna,99.0,,,
615,"PRZEDSZKOLE NR 189 ""NA WIERZBNIE",Przedszkole,Unused,Unclassified,Mokotów,ul. Teofila Lenartowicza,27,,02-614,21.017427080369245,52.19176725,publiczna,95.0,,,
616,NIEPUBLICZNE DWUJĘZYCZNE PRZEDSZKOLE MAŁY PODRÓŻNIK,Przedszkole,Unused,Unclassified,Mokotów,ul. Balonowa,12,,02-635,20.99953744647821,52.19423245,niepubliczna,70.0,,,
617,"NIEPUBLICZNE PRZEDSZKOLE MONTESSORI ""ITSY-BITSY",Przedszkole,Unused,Unclassified,Mokotów,ul. Cybernetyki,7d,,02-677,20.996126534446844,52.1740214,niepubliczna,70.0,,,
618,"NIEPUBLICZNE PRZEDSZKOLE JĘZYKOWE ""BAŚNIOWY DOM",Przedszkole,Unused,Unclassified,Mokotów,ul. Miłobędzka,2,,02-634,20.991798677407502,52.19412595,niepubliczna,95.0,,,
619,SZKOŁA PODSTAWOWA SPORTOWA NR 272 IM. EUGENIUSZA LOKAJSKIEGO,Szkoła podstawowa,Ordinary,Elementary,Mokotów,ul. Piaseczyńska,114/116,,00-765,21.0329322133785,52.1984835,publiczna,265.0,,,
620,NIEPUBLICZNA SZKOŁA PODSTAWOWA NR 97,Szkoła podstawowa,Ordinary,Elementary,Mokotów,ul. Edwarda Józefa Abramowskiego,4,,02-659,21.01731333729132,52.18487885,niepubliczna,274.0,,,
622,PRZEDSZKOLE NR 199,Przedszkole,Unused,Unclassified,Mokotów,ul. Bukietowa,10,,02-650,21.012131204311707,52.1920228,publiczna,96.0,,,
623,XXVIII LICEUM OGÓLNOKSZTAŁCĄCE IM. JANA KOCHANOWSKIEGO,Liceum ogólnokształcące,Ordinary,Middle,Mokotów,ul. Wiktorska,99,,02-575,21.004287264213453,52.19703440000001,publiczna,650.0,159.815,181.315,166.22799999999995
624,BDO ACADEMY,Placówka Kształcenia Ustawicznego - bez szkół,Unused,Unclassified,Mokotów,ul. Postępu,12,,02-676,20.99670775,52.1768556,publiczna,,,,
626,"KATOLICKIE NIEPUBLICZNE PRZEDSZKOLE JĘZYKOWE ""ANIOŁA STRÓŻA",Przedszkole,Unused,Unclassified,Mokotów,ul. Mariana Smoluchowskiego,1,,02-679,21.012097982790948,52.17736815,niepubliczna,3.0,,,
627,"PRZEDSZKOLE NR 299 ""BERNARDYŃSKIE KRASNALE",Przedszkole,Unused,Unclassified,Mokotów,ul. Przy Bernardyńskiej Wodzie,13,,02-943,21.04974863312625,52.19111135,publiczna,124.0,,,
628,KANADYJSKA SZKOŁA PODSTAWOWA NR 84,Szkoła podstawowa,Ordinary,Elementary,Mokotów,ul. Bełska,7,,02-638,20.9989078773446,52.1916614,niepubliczna,160.0,,,
629,CLXIV LICEUM OGÓLNOKSZTAŁCĄCE MISTRZOSTWA SPORTOWEGO,Liceum ogólnokształcące,Ordinary,Middle,Mokotów,ul. Chełmska,23,,00-724,21.039169923920856,52.2017561,publiczna,64.0,71.0,100.0,74.17
630,PRZEDSZKOLE NR 149,Przedszkole,Unused,Unclassified,Mokotów,ul. Dolna,8,,00-774,21.032033953452533,52.20173,publiczna,142.0,,,
632,SZKOŁA PODSTAWOWA NR 119 IM. 3 BERLIŃSKIEGO PUŁKU PIECHOTY,Szkoła podstawowa,Ordinary,Elementary,Mokotów,"ul. Pułku AK ""Baszta""",3,,02-649,21.005553515938047,52.19063485,publiczna,281.0,,,
633,SZKOŁA PODSTAWOWA NR 190 IM. ORŁA BIAŁEGO,Szkoła podstawowa,Ordinary,Elementary,Mokotów,ul. Zwierzyniecka,10,,00-719,21.050433513841504,52.20963,publiczna,593.0,,,
634,MULTISCHOOL INTERNATIONAL SCHOOL SZKOŁA PODSTAWOWA,Szkoła podstawowa,Ordinary,Elementary,Mokotów,ul. Niedźwiedzia,46,,02-666,21.0199374,52.17722910000001,niepubliczna,184.0,,,
635,"NIEPUBLICZNE PRZEDSZKOLE ""TEDDY&ME",Przedszkole,Unused,Unclassified,Mokotów,ul. Magazynowa,11,u5,02-652,21.003966640296373,52.18647650000001,niepubliczna,25.0,,,
636,LXV LICEUM OGÓLNOKSZTAŁCĄCE Z ODDZIAŁAMI INTEGRACYJNYMI IM. GEN. JÓZEFA BEMA,Liceum ogólnokształcące,Ordinary,Middle,Mokotów,ul. Marynarska,2/6,,02-674,20.999096245261192,52.1795861,publiczna,531.0,86.1,111.34285714285713,95.07714285714285
637,SZKOŁA PODSTAWOWA NR 157 IM. ADAMA MICKIEWICZA,Szkoła podstawowa,Ordinary,Elementary,Mokotów,ul. Kazimierzowska,16,,02-589,21.018170748741944,52.19989685,publiczna,516.0,,,
638,BRYTYJSKIE LICEUM OGÓLNOKSZTAŁCĄCE THE BRITISH SCHOOL,Liceum ogólnokształcące,Ordinary,Middle,Mokotów,ul. Bolesława Limanowskiego,15,,02-943,21.05500013334747,52.18918635,niepubliczna,267.0,,,
639,HAPPY KIDS' ACADEMY - EUROPEJSKIE PRZEDSZKOLE JĘZYKOWE,Przedszkole,Unused,Unclassified,Mokotów,ul. Jadźwingów,22A,,02-692,21.00190767315404,52.1721512,niepubliczna,67.0,,,
